"","output_1_sorted.bam","output_2_sorted.bam","output_3_sorted.bam","output_4_sorted.bam","output_5_sorted.bam","output_6_sorted.bam","output_7_sorted.bam","output_8_sorted.bam","output_9_sorted.bam","output_10_sorted.bam","output_1_adj_sorted.bam","output_2_adj_sorted.bam","output_3_adj_sorted.bam","output_4_adj_sorted.bam","output_5_adj_sorted.bam","output_6_adj_sorted.bam","output_7_adj_sorted.bam","output_8_adj_sorted.bam","output_9_adj_sorted.bam","output_10_adj_sorted.bam"
"ENSG00000145708.11",51,19,29,5,85,21,6,46,54,60,1942,1374,660,1499,1370,1458,650,580,1595,1740
"ENSG00000089685.15",847,792,581,694,275,512,249,730,683,1682,53,57,50,47,60,28,37,64,113,27
"ENSG00000143369.15",145,194,258,314,170,227,111,618,440,273,1204,1428,1224,1329,1570,1402,2448,1506,1963,915
"ENSG00000146670.10",671,543,345,458,255,207,201,320,535,934,40,20,28,16,35,26,20,26,92,25
"ENSG00000019169.10",4,6,14,2,50,2,0,29,4,12,2179,4104,2391,1240,1883,1149,1229,1048,4828,1582
"ENSG00000136011.15",34,26,29,77,38,8,1,23,86,43,651,606,568,799,466,539,1242,1681,600,414
"ENSG00000094804.11",415,582,246,259,347,247,168,193,1058,950,12,5,12,18,32,40,18,16,27,16
"ENSG00000263761.2",0,0,4,0,2,2,0,10,0,4,221,214,115,254,434,696,43,67,958,468
"ENSG00000091622.16",16,3,24,22,2,13,15,33,24,20,187,99,142,130,566,286,148,140,477,96
"ENSG00000142748.12",52,22,369,23,182,32,51,29,66,94,2491,7963,3066,4466,2262,3183,966,1709,4629,2449
"ENSG00000164283.13",725,723,1294,176,91,149,770,2177,1245,2641,36,8,1,10,33,10,6,18,8,16
"ENSG00000171848.15",1281,639,587,550,452,750,625,376,1139,2484,98,48,45,88,93,52,80,112,158,34
"ENSG00000090889.12",299,484,271,273,142,160,76,210,444,972,30,8,6,13,8,10,21,12,35,12
"ENSG00000164611.13",738,1556,156,651,184,712,262,346,420,1098,45,22,32,20,34,18,34,48,98,24
"ENSG00000198203.10",4692,6974,5193,1451,177,1573,6069,1759,3823,742,55,62,29,54,107,4,38,100,167,20
"ENSG00000117399.14",908,2240,437,538,203,274,208,959,500,1360,44,9,12,26,19,11,31,47,90,11
"ENSG00000134057.15",771,699,233,965,115,508,230,460,1117,2294,43,19,49,26,98,45,36,23,121,58
"ENSG00000134690.11",311,328,185,342,169,177,71,425,297,579,16,18,10,22,30,11,18,28,77,8
"ENSG00000186185.13",559,577,273,501,93,212,132,362,434,483,16,8,4,15,21,12,16,37,57,3
"ENSG00000182566.13",18,10,5,2,105,0,4,15,2,8,2778,2427,1850,2659,1423,1358,2205,1117,1745,1439
"ENSG00000100162.15",552,368,164,205,145,141,108,191,252,530,14,16,12,6,27,12,19,23,52,4
"ENSG00000125968.9",160,576,305,399,658,587,579,1890,1079,1808,6921,6496,6263,8333,5190,4151,3804,2767,6224,2754
"ENSG00000131747.15",1413,1921,823,1436,328,756,407,1433,3429,4607,108,56,16,30,94,44,81,124,308,47
"ENSG00000138315.13",171,55,211,520,162,242,188,20,449,309,1655,2125,952,1589,2231,1191,996,1143,2154,2071
"ENSG00000101057.16",1449,1473,173,1055,351,169,151,836,892,2440,52,16,16,13,64,18,48,47,111,19
"ENSG00000149294.16",8,10,22,8,20,18,4,27,56,16,196,235,87,125,1921,162,123,138,2047,154
"ENSG00000175063.17",1158,2097,273,647,300,215,219,854,867,844,32,21,29,22,22,16,61,79,92,31
"ENSG00000174371.17",164,150,131,116,52,174,39,64,277,685,3,8,6,4,16,10,5,2,19,8
"ENSG00000004799.8",936,733,1874,696,371,1696,506,1130,1476,710,2454,4492,5593,2916,4221,11181,13204,2626,6685,5676
"ENSG00000101412.13",1703,1203,341,673,686,286,214,438,1205,1836,32,15,46,34,144,84,22,82,89,50
"ENSG00000077152.10",229,481,180,294,73,259,104,335,704,689,34,12,19,9,50,20,11,28,62,32
"ENSG00000133800.8",19,68,169,14,55,77,56,52,106,69,344,680,269,530,616,293,902,476,578,270
"ENSG00000168078.10",560,181,149,147,50,132,120,164,244,245,22,6,6,20,10,10,4,8,29,2
"ENSG00000043355.12",884,940,4,214,173,188,229,421,418,99,6,2,6,0,0,0,2,0,0,2
"ENSG00000171388.12",291,151,1952,332,48,386,157,344,809,1446,14,10,18,10,22,25,0,10,12,18
"ENSG00000178075.20",242,111,335,93,101,106,18,253,340,74,897,838,902,515,647,1224,426,1000,742,990
"ENSG00000088325.16",1191,1067,925,817,191,340,189,870,1294,2352,93,112,65,135,205,106,45,71,178,76
"ENSG00000108106.14",3285,1700,830,3034,606,999,1041,1790,2234,2570,399,459,295,251,597,215,174,192,560,261
"ENSG00000162365.12",535,457,519,1106,298,172,163,33,86,392,5656,8571,3940,9807,1564,6328,1732,3741,2499,9924
"ENSG00000170509.12",1006,29,130,25,405,66,31,42,51,134,10539,10140,11600,9615,2870,22926,2117,3500,7648,14335
"ENSG00000183287.14",0,22,15,6,28,0,4,4,10,8,532,119,185,141,504,342,228,239,542,294
"ENSG00000163217.2",0,0,12,0,4,0,0,0,2,2,144,159,153,105,87,222,28,60,249,218
"ENSG00000100526.20",622,407,226,203,46,254,50,257,377,711,23,10,6,20,18,12,15,38,32,21
"ENSG00000130829.18",640,1305,405,2169,4087,210,368,422,2002,57,15,30,29,66,51,13,20,18,30,24
"ENSG00000116194.13",14,14,62,21,22,112,32,79,62,68,635,172,357,97,333,563,206,278,523,493
