"","logFC","logCPM","F","PValue","FDR"
"ENSG00000145708.11",-5.4700334488445,4.4390161804257,137.658181039437,8.17845386470944e-12,2.64803775557115e-07
"ENSG00000089685.15",3.24822302878744,3.17819004146068,133.543620100782,1.1372460573933e-11,2.64803775557115e-07
"ENSG00000143369.15",-2.97375286213321,4.83128956625279,131.449933895065,1.34943320311083e-11,2.64803775557115e-07
"ENSG00000146670.10",3.36832765853792,2.53659653223582,118.563908438005,4.07984980156554e-11,4.81491223033778e-07
"ENSG00000019169.10",-7.63768331315809,5.1061769818676,118.537715426246,4.0894447344469e-11,4.81491223033778e-07
"ENSG00000136011.15",-5.00781494309788,3.8007419199159,103.103882994393,1.76951713430903e-10,1.73619122827954e-06
"ENSG00000094804.11",4.00568619409988,2.47938333876052,99.2410345596679,2.62514612109033e-10,2.20774788783697e-06
"ENSG00000263761.2",-7.58900023694086,2.43767998170562,95.3038810886965,3.97512554092102e-10,2.92519550742526e-06
"ENSG00000091622.16",-4.08947102263171,1.87546059983982,93.4107258132841,4.87664572285743e-10,3.18986815227352e-06
"ENSG00000142748.12",-5.50281703697466,5.81781029552838,88.9136893789356,8.03246892874235e-10,4.72871445835062e-06
"ENSG00000164283.13",5.57087237134519,3.53859355531207,87.9320548216036,8.98053181534818e-10,4.80621734517771e-06
"ENSG00000171848.15",3.00484623262673,3.56687302197379,86.3791068748188,1.0735637838787e-09,4.9342665445315e-06
"ENSG00000090889.12",3.91211892814863,2.03892284768327,86.2509955709548,1.08961211277237e-09,4.9342665445315e-06
"ENSG00000164611.13",3.64646282366687,3.01455392999161,80.9188316810878,2.05273693386534e-09,8.63175880690375e-06
"ENSG00000198203.10",5.44642689570436,5.44045136659405,79.699335726616,2.38342385988947e-09,9.35414417544622e-06
"ENSG00000117399.14",4.25335424071657,3.25831415880038,76.9550974812869,3.35741017820206e-09,1.21921107343117e-05
"ENSG00000134057.15",3.37809062000236,3.17343781027947,76.5804173002292,3.52073861870731e-09,1.21921107343117e-05
"ENSG00000134690.11",3.2093348848818,1.91125085492035,76.019043187634,3.78169390629366e-09,1.23682400146393e-05
"ENSG00000186185.13",3.81378558576566,2.18195372616264,74.6914927179901,4.48557778532116e-09,1.38982086432556e-05
"ENSG00000182566.13",-6.90010810570967,5.02136623002049,73.9212596240802,4.95777839033693e-09,1.41084068725766e-05
"ENSG00000100162.15",3.44155410652466,1.79137862179616,73.5117821412883,5.23040795667223e-09,1.41084068725766e-05
"ENSG00000125968.9",-3.16699323919786,6.59828861405832,73.4475932863262,5.27459093725742e-09,1.41084068725766e-05
"ENSG00000131747.15",3.70875545036979,4.28843161477957,72.9554643824555,5.62701089737468e-09,1.41084068725766e-05
"ENSG00000138315.13",-3.22208872720159,4.85834781644048,72.7892794762251,5.75168617193541e-09,1.41084068725766e-05
"ENSG00000101057.16",4.03419941927484,3.43593105859085,70.3762179424829,7.94075515540858e-09,1.75817681010459e-05
"ENSG00000149294.16",-4.88455424176157,2.76619717843535,70.3486357166668,7.97046067704189e-09,1.75817681010459e-05
"ENSG00000175063.17",3.71470870448002,3.2595394109006,70.0507309102288,8.29904537567124e-09,1.75817681010459e-05
"ENSG00000174371.17",4.03922991114697,1.1646580201672,69.7938616355932,8.59410719198178e-09,1.75817681010459e-05
